SCOPE	ENTREZ	HUGO	GENENAME	ENSEMBL	HGNC	CHR	MAPLOC	DESCRIPTION	GENETYPE	GSC1	GSC2	HUGO_ENSG	SCOPE_ENSG
KRT6C	286887	KRT6C	KRT6C	ENSG00000170465	20406	12	12q13.13	keratin 6C	protein-coding	KRT6C|286887_calculated	merged_KRT6C|286887_calculated	KRT6C_ENSG00000170465	KRT6C_ENSG00000170465
KRT7	3855	KRT7	KRT7	ENSG00000135480	6445	12	12q13.13	keratin 7	protein-coding	KRT7|3855_calculated	merged_KRT7|3855_calculated	KRT7_ENSG00000135480	KRT7_ENSG00000135480
KRT71	112802	KRT71	KRT71	ENSG00000139648	28927	12	12q13.13	keratin 71	protein-coding	KRT71|112802_calculated	merged_KRT71|112802_calculated	KRT71_ENSG00000139648	KRT71_ENSG00000139648
KRT72	140807	KRT72	KRT72	ENSG00000170486	28932	12	12q13.13	keratin 72	protein-coding	KRT72|140807_calculated	merged_KRT72|140807_calculated	KRT72_ENSG00000170486	KRT72_ENSG00000170486
KRT73	319101	KRT73	KRT73	ENSG00000186049	28928	12	12q13.13	keratin 73	protein-coding	KRT73|319101_calculated	merged_KRT73|319101_calculated	KRT73_ENSG00000186049	KRT73_ENSG00000186049
KRT74	121391	KRT74	KRT74	ENSG00000170484	28929	12	12q13.13	keratin 74	protein-coding	KRT74|121391_calculated	merged_KRT74|121391_calculated	KRT74_ENSG00000170484	KRT74_ENSG00000170484
KRT75	9119	KRT75	KRT75	ENSG00000170454	24431	12	12q13.13	keratin 75	protein-coding	KRT75|9119_calculated	merged_KRT75|9119_calculated	KRT75_ENSG00000170454	KRT75_ENSG00000170454
KRT76	51350	KRT76	KRT76	ENSG00000185069	24430	12	12q13.13	keratin 76	protein-coding	KRT76|51350_calculated	merged_KRT76|51350_calculated	KRT76_ENSG00000185069	KRT76_ENSG00000185069
KRT77	374454	KRT77	KRT77	ENSG00000189182	20411	12	12q13.13	keratin 77	protein-coding	KRT77|374454_calculated	merged_KRT77|374454_calculated	KRT77_ENSG00000189182	KRT77_ENSG00000189182
KRT78	196374	KRT78	KRT78	ENSG00000170423	28926	12	12q13.13	keratin 78	protein-coding	KRT78|196374_calculated	merged_KRT78|196374_calculated	KRT78_ENSG00000170423	KRT78_ENSG00000170423
KRT79	338785	KRT79	KRT79	ENSG00000185640	28930	12	12q13.13	keratin 79	protein-coding	KRT79|338785_calculated	merged_KRT79|338785_calculated	KRT79_ENSG00000185640	KRT79_ENSG00000185640
KRT8	3856	KRT8	KRT8	ENSG00000170421	6446	12	12q13.13	keratin 8	protein-coding	KRT8|3856_calculated	merged_KRT8|3856_calculated	KRT8_ENSG00000170421	KRT8_ENSG00000170421
KRT80	144501	KRT80	KRT80	ENSG00000167767	27056	12	12q13.13	keratin 80	protein-coding	KRT80|144501_calculated	merged_KRT80|144501_calculated	KRT80_ENSG00000167767	KRT80_ENSG00000167767
KRT81	3887	KRT81	KRT81	ENSG00000205426	6458	12	12q13.13	keratin 81	protein-coding	KRT81|3887_calculated	merged_KRT81|3887_calculated	KRT81_ENSG00000205426	KRT81_ENSG00000205426
KRT82	3888	KRT82	KRT82	ENSG00000161850	6459	12	12q13.13	keratin 82	protein-coding	KRT82|3888_calculated	merged_KRT82|3888_calculated	KRT82_ENSG00000161850	KRT82_ENSG00000161850
KRT83	3889	KRT83	KRT83	ENSG00000170523	6460	12	12q13.13	keratin 83	protein-coding	KRT83|3889_calculated	merged_KRT83|3889_calculated	KRT83_ENSG00000170523	KRT83_ENSG00000170523
KRT84	3890	KRT84	KRT84	ENSG00000161849	6461	12	12q13.13	keratin 84	protein-coding	KRT84|3890_calculated	merged_KRT84|3890_calculated	KRT84_ENSG00000161849	KRT84_ENSG00000161849
KRT85	3891	KRT85	KRT85	ENSG00000135443	6462	12	12q13.13	keratin 85	protein-coding	KRT85|3891_calculated	merged_KRT85|3891_calculated	KRT85_ENSG00000135443	KRT85_ENSG00000135443
KRT86	3892	KRT86	KRT86	ENSG00000170442	6463	12	12q13.13	keratin 86	protein-coding	KRT86|3892_calculated	merged_KRT86|3892_calculated	KRT86_ENSG00000170442	KRT86_ENSG00000170442
KRT9	3857	KRT9	KRT9	ENSG00000171403	6447	17	17q21.2	keratin 9	protein-coding	KRT9|3857_calculated	merged_KRT9|3857_calculated	KRT9_ENSG00000171403	KRT9_ENSG00000171403
KRTAP1-1	81851	KRTAP1-1	KRTAP1-1	ENSG00000188581	16772	17	17q21.2	keratin associated protein 1-1	protein-coding	KRTAP1-1|81851_calculated	merged_KRTAP1-1|81851_calculated	KRTAP1-1_ENSG00000188581	KRTAP1-1_ENSG00000188581
KRTAP1-3	81850	KRTAP1-3	KRTAP1-3	ENSG00000221880	16771	17	17q21.2	keratin associated protein 1-3	protein-coding	KRTAP1-3|81850_calculated	merged_KRTAP1-3|81850_calculated	KRTAP1-3_ENSG00000221880	KRTAP1-3_ENSG00000221880
KRTAP1-5	83895	KRTAP1-5	KRTAP1-5	ENSG00000221852	16777	17	17q21.2	keratin associated protein 1-5	protein-coding	KRTAP1-5|83895_calculated	merged_KRTAP1-5|83895_calculated	KRTAP1-5_ENSG00000221852	KRTAP1-5_ENSG00000221852
KRTAP10-1	386677	KRTAP10-1	KRTAP10-1	ENSG00000215455	22966	21	21q22.3	keratin associated protein 10-1	protein-coding	KRTAP10-1|386677_calculated	merged_KRTAP10-1|386677_calculated	KRTAP10-1_ENSG00000215455	KRTAP10-1_ENSG00000215455
KRTAP10-10	353333	KRTAP10-10	KRTAP10-10	ENSG00000221859	22972	21	21q22.3	keratin associated protein 10-10	protein-coding	KRTAP10-10|353333_calculated	merged_KRTAP10-10|353333_calculated	KRTAP10-10_ENSG00000221859	KRTAP10-10_ENSG00000221859
KRTAP10-11	386678	KRTAP10-11	KRTAP10-11	ENSG00000243489	20528	21	21q22.3	keratin associated protein 10-11	protein-coding	KRTAP10-11|386678_calculated	merged_KRTAP10-11|386678_calculated	KRTAP10-11_ENSG00000243489	KRTAP10-11_ENSG00000243489
KRTAP10-12	386685	KRTAP10-12	KRTAP10-12	ENSG00000189169	20533	21	21q22.3	keratin associated protein 10-12	protein-coding	KRTAP10-12|386685_calculated	merged_KRTAP10-12|386685_calculated	KRTAP10-12_ENSG00000189169	KRTAP10-12_ENSG00000189169
KRTAP10-2	386679	KRTAP10-2	KRTAP10-2	ENSG00000205445	22967	21	21q22.3	keratin associated protein 10-2	protein-coding	KRTAP10-2|386679_calculated	merged_KRTAP10-2|386679_calculated	KRTAP10-2_ENSG00000205445	KRTAP10-2_ENSG00000205445
KRTAP10-3	386682	KRTAP10-3	KRTAP10-3	ENSG00000212935	22968	21	21q22.3	keratin associated protein 10-3	protein-coding	KRTAP10-3|386682_calculated	merged_KRTAP10-3|386682_calculated	KRTAP10-3_ENSG00000212935	KRTAP10-3_ENSG00000212935
KRTAP10-4	386672	KRTAP10-4	KRTAP10-4	ENSG00000215454	20521	21	21q22.3	keratin associated protein 10-4	protein-coding	KRTAP10-4|386672_calculated	merged_KRTAP10-4|386672_calculated	KRTAP10-4_ENSG00000215454	KRTAP10-4_ENSG00000215454
KRTAP10-5	386680	KRTAP10-5	KRTAP10-5	ENSG00000241123	22969	21	21q22.3	keratin associated protein 10-5	protein-coding	KRTAP10-5|386680_calculated	merged_KRTAP10-5|386680_calculated	KRTAP10-5_ENSG00000241123	KRTAP10-5_ENSG00000241123
KRTAP10-6	386674	KRTAP10-6	KRTAP10-6	ENSG00000188155	20523	21	21q22.3	keratin associated protein 10-6	protein-coding	KRTAP10-6|386674_calculated	merged_KRTAP10-6|386674_calculated	KRTAP10-6_ENSG00000188155	KRTAP10-6_ENSG00000188155
KRTAP10-8	386681	KRTAP10-8	KRTAP10-8	ENSG00000187766	20525	21	21q22.3	keratin associated protein 10-8	protein-coding	KRTAP10-8|386681_calculated	merged_KRTAP10-8|386681_calculated	KRTAP10-8_ENSG00000187766	KRTAP10-8_ENSG00000187766
KRTAP10-9	386676	KRTAP10-9	KRTAP10-9	ENSG00000221837	22971	21	21q22.3	keratin associated protein 10-9	protein-coding	KRTAP10-9|386676_calculated	merged_KRTAP10-9|386676_calculated	KRTAP10-9_ENSG00000221837	KRTAP10-9_ENSG00000221837
KRTAP11-1	337880	KRTAP11-1	KRTAP11-1	ENSG00000182591	18922	21	21q22.11	keratin associated protein 11-1	protein-coding	KRTAP11-1|337880_calculated	merged_KRTAP11-1|337880_calculated	KRTAP11-1_ENSG00000182591	KRTAP11-1_ENSG00000182591
KRTAP12-1	353332	KRTAP12-1	KRTAP12-1	ENSG00000187175	20529	21	21q22.3	keratin associated protein 12-1	protein-coding	KRTAP12-1|353332_calculated	merged_KRTAP12-1|353332_calculated	KRTAP12-1_ENSG00000187175	KRTAP12-1_ENSG00000187175
KRTAP12-2	353323	KRTAP12-2	KRTAP12-2	ENSG00000221864	20530	21	21q22.3	keratin associated protein 12-2	protein-coding	KRTAP12-2|353323_calculated	merged_KRTAP12-2|353323_calculated	KRTAP12-2_ENSG00000221864	KRTAP12-2_ENSG00000221864
KRTAP12-3	386683	KRTAP12-3	KRTAP12-3	ENSG00000205439	20531	21	21q22.3	keratin associated protein 12-3	protein-coding	KRTAP12-3|386683_calculated	merged_KRTAP12-3|386683_calculated	KRTAP12-3_ENSG00000205439	KRTAP12-3_ENSG00000205439
KRTAP12-4	386684	KRTAP12-4	KRTAP12-4	ENSG00000212933	20532	21	21q22.3	keratin associated protein 12-4	protein-coding	KRTAP12-4|386684_calculated	merged_KRTAP12-4|386684_calculated	KRTAP12-4_ENSG00000212933	KRTAP12-4_ENSG00000212933
KRTAP13-1	140258	KRTAP13-1	KRTAP13-1	ENSG00000198390	18924	21	21q22.11	keratin associated protein 13-1	protein-coding	KRTAP13-1|140258_calculated	merged_KRTAP13-1|140258_calculated	KRTAP13-1_ENSG00000198390	KRTAP13-1_ENSG00000198390
KRTAP13-2	337959	KRTAP13-2	KRTAP13-2	ENSG00000182816	18923	21	21q22.11	keratin associated protein 13-2	protein-coding	KRTAP13-2|337959_calculated	merged_KRTAP13-2|337959_calculated	KRTAP13-2_ENSG00000182816	KRTAP13-2_ENSG00000182816
KRTAP13-3	337960	KRTAP13-3	KRTAP13-3	ENSG00000240432	18925	21	21q22.11	keratin associated protein 13-3	protein-coding	KRTAP13-3|337960_calculated	merged_KRTAP13-3|337960_calculated	KRTAP13-3_ENSG00000240432	KRTAP13-3_ENSG00000240432
KRTAP13-4	284827	KRTAP13-4	KRTAP13-4	ENSG00000186971	18926	21	21q22.11	keratin associated protein 13-4	protein-coding	KRTAP13-4|284827_calculated	merged_KRTAP13-4|284827_calculated	KRTAP13-4_ENSG00000186971	KRTAP13-4_ENSG00000186971
KRTAP15-1	254950	KRTAP15-1	KRTAP15-1	ENSG00000186970	18927	21	21q22.11	keratin associated protein 15-1	protein-coding	KRTAP15-1|254950_calculated	merged_KRTAP15-1|254950_calculated	KRTAP15-1_ENSG00000186970	KRTAP15-1_ENSG00000186970
KRTAP17-1	83902	KRTAP17-1	KRTAP17-1	ENSG00000186860	18917	17	17q21.2	keratin associated protein 17-1	protein-coding	KRTAP17-1|83902_calculated	merged_KRTAP17-1|83902_calculated	KRTAP17-1_ENSG00000186860	KRTAP17-1_ENSG00000186860
KRTAP19-1	337882	KRTAP19-1	KRTAP19-1	ENSG00000184351	18936	21	21q22.11	keratin associated protein 19-1	protein-coding	KRTAP19-1|337882_calculated	merged_KRTAP19-1|337882_calculated	KRTAP19-1_ENSG00000184351	KRTAP19-1_ENSG00000184351
KRTAP19-2	337969	KRTAP19-2	KRTAP19-2	ENSG00000186965	18937	21	21q22.11	keratin associated protein 19-2	protein-coding	KRTAP19-2|337969_calculated	merged_KRTAP19-2|337969_calculated	KRTAP19-2_ENSG00000186965	KRTAP19-2_ENSG00000186965
KRTAP19-3	337970	KRTAP19-3	KRTAP19-3	ENSG00000244025	18938	21	21q22.11	keratin associated protein 19-3	protein-coding	KRTAP19-3|337970_calculated	merged_KRTAP19-3|337970_calculated	KRTAP19-3_ENSG00000244025	KRTAP19-3_ENSG00000244025
KRTAP19-4	337971	KRTAP19-4	KRTAP19-4	ENSG00000186967	18939	21	21q22.11	keratin associated protein 19-4	protein-coding	KRTAP19-4|337971_calculated	merged_KRTAP19-4|337971_calculated	KRTAP19-4_ENSG00000186967	KRTAP19-4_ENSG00000186967
KRTAP19-5	337972	KRTAP19-5	KRTAP19-5	ENSG00000186977	18940	21	21q22.11	keratin associated protein 19-5	protein-coding	KRTAP19-5|337972_calculated	merged_KRTAP19-5|337972_calculated	KRTAP19-5_ENSG00000186977	KRTAP19-5_ENSG00000186977
KRTAP19-6	337973	KRTAP19-6	KRTAP19-6	ENSG00000186925	18941	21	21q22.11	keratin associated protein 19-6	protein-coding	KRTAP19-6|337973_calculated	merged_KRTAP19-6|337973_calculated	KRTAP19-6_ENSG00000186925	KRTAP19-6_ENSG00000186925
KRTAP19-7	337974	KRTAP19-7	KRTAP19-7	ENSG00000244362	18942	21	21q22.11	keratin associated protein 19-7	protein-coding	KRTAP19-7|337974_calculated	merged_KRTAP19-7|337974_calculated	KRTAP19-7_ENSG00000244362	KRTAP19-7_ENSG00000244362
KRTAP19-8	728299	KRTAP19-8	KRTAP19-8	ENSG00000206102	33898	21	21q22.11	keratin associated protein 19-8	protein-coding	KRTAP19-8|728299_calculated	merged_KRTAP19-8|728299_calculated	KRTAP19-8_ENSG00000206102	KRTAP19-8_ENSG00000206102
KRTAP2-1	81872	KRTAP2-1	KRTAP2-1	ENSG00000212725	16775	17	17q21.2	keratin associated protein 2-1	protein-coding	KRTAP2-1|81872_calculated	merged_KRTAP2-1|81872_calculated	KRTAP2-1_ENSG00000212725	KRTAP2-1_ENSG00000212725
KRTAP2-2	728279	KRTAP2-2	KRTAP2-2	ENSG00000214518	18905	17	17q21.2	keratin associated protein 2-2	protein-coding	KRTAP2-2|728279_calculated	merged_KRTAP2-2|728279_calculated	KRTAP2-2_ENSG00000214518	KRTAP2-2_ENSG00000214518
KRTAP2-4	85294	KRTAP2-4	KRTAP2-4	ENSG00000213417	18891	17	17q21.2	keratin associated protein 2-4	protein-coding	KRTAP2-4|85294_calculated	merged_KRTAP2-4|85294_calculated	KRTAP2-4_ENSG00000213417	KRTAP2-4_ENSG00000213417
KRTAP20-1	337975	KRTAP20-1	KRTAP20-1	ENSG00000244624	18943	21	21q22.11	keratin associated protein 20-1	protein-coding	KRTAP20-1|337975_calculated	merged_KRTAP20-1|337975_calculated	KRTAP20-1_ENSG00000244624	KRTAP20-1_ENSG00000244624
KRTAP20-2	337976	KRTAP20-2	KRTAP20-2	ENSG00000184032	18944	21	21q22.11	keratin associated protein 20-2	protein-coding	KRTAP20-2|337976_calculated	merged_KRTAP20-2|337976_calculated	KRTAP20-2_ENSG00000184032	KRTAP20-2_ENSG00000184032
KRTAP20-3	337985	KRTAP20-3	KRTAP20-3	ENSG00000206104	34001	21	21q22.11	keratin associated protein 20-3	protein-coding	KRTAP20-3|337985_calculated	merged_KRTAP20-3|337985_calculated	KRTAP20-3_ENSG00000206104	KRTAP20-3_ENSG00000206104
KRTAP20-4	100151643	KRTAP20-4	KRTAP20-4	ENSG00000206105	34002	21	21q22.11	keratin associated protein 20-4	protein-coding	KRTAP20-4|100151643_calculated	merged_KRTAP20-4|100151643_calculated	KRTAP20-4_ENSG00000206105	KRTAP20-4_ENSG00000206105
KRTAP21-1	337977	KRTAP21-1	KRTAP21-1	ENSG00000187005	18945	21	21q22.11	keratin associated protein 21-1	protein-coding	KRTAP21-1|337977_calculated	merged_KRTAP21-1|337977_calculated	KRTAP21-1_ENSG00000187005	KRTAP21-1_ENSG00000187005
KRTAP21-2	337978	KRTAP21-2	KRTAP21-2	ENSG00000187026	18946	21	21q22.11	keratin associated protein 21-2	protein-coding	KRTAP21-2|337978_calculated	merged_KRTAP21-2|337978_calculated	KRTAP21-2_ENSG00000187026	KRTAP21-2_ENSG00000187026
KRTAP22-1	337979	KRTAP22-1	KRTAP22-1	ENSG00000186924	18947	21	21q22.11	keratin associated protein 22-1	protein-coding	KRTAP22-1|337979_calculated	merged_KRTAP22-1|337979_calculated	KRTAP22-1_ENSG00000186924	KRTAP22-1_ENSG00000186924
KRTAP23-1	337963	KRTAP23-1	KRTAP23-1	ENSG00000186980	18928	21	21q22.11	keratin associated protein 23-1	protein-coding	KRTAP23-1|337963_calculated	merged_KRTAP23-1|337963_calculated	KRTAP23-1_ENSG00000186980	KRTAP23-1_ENSG00000186980
KRTAP24-1	643803	KRTAP24-1	KRTAP24-1	ENSG00000188694	33902	21	21q22.11	keratin associated protein 24-1	protein-coding	KRTAP24-1|643803_calculated	merged_KRTAP24-1|643803_calculated	KRTAP24-1_ENSG00000188694	KRTAP24-1_ENSG00000188694
KRTAP25-1	100131902	KRTAP25-1	KRTAP25-1	ENSG00000232263	34003	21	21q22.11	keratin associated protein 25-1	protein-coding	KRTAP25-1|100131902_calculated	merged_KRTAP25-1|100131902_calculated	KRTAP25-1_ENSG00000232263	KRTAP25-1_ENSG00000232263
KRTAP26-1	388818	KRTAP26-1	KRTAP26-1	ENSG00000197683	33760	21	21q22.11	keratin associated protein 26-1	protein-coding	KRTAP26-1|388818_calculated	merged_KRTAP26-1|388818_calculated	KRTAP26-1_ENSG00000197683	KRTAP26-1_ENSG00000197683
KRTAP27-1	643812	KRTAP27-1	KRTAP27-1	ENSG00000206107	33864	21	21q22.11	keratin associated protein 27-1	protein-coding	KRTAP27-1|643812_calculated	merged_KRTAP27-1|643812_calculated	KRTAP27-1_ENSG00000206107	KRTAP27-1_ENSG00000206107
KRTAP3-1	83896	KRTAP3-1	KRTAP3-1	ENSG00000212901	16778	17	17q21.2	keratin associated protein 3-1	protein-coding	KRTAP3-1|83896_calculated	merged_KRTAP3-1|83896_calculated	KRTAP3-1_ENSG00000212901	KRTAP3-1_ENSG00000212901
KRTAP3-2	83897	KRTAP3-2	KRTAP3-2	ENSG00000212900	16779	17	17q21.2	keratin associated protein 3-2	protein-coding	KRTAP3-2|83897_calculated	merged_KRTAP3-2|83897_calculated	KRTAP3-2_ENSG00000212900	KRTAP3-2_ENSG00000212900
KRTAP3-3	85293	KRTAP3-3	KRTAP3-3	ENSG00000212899	18890	17	17q21.2	keratin associated protein 3-3	protein-coding	KRTAP3-3|85293_calculated	merged_KRTAP3-3|85293_calculated	KRTAP3-3_ENSG00000212899	KRTAP3-3_ENSG00000212899
KRTAP4-1	85285	KRTAP4-1	KRTAP4-1	ENSG00000198443	18907	17	17q21.2	keratin associated protein 4-1	protein-coding	KRTAP4-1|85285_calculated	merged_KRTAP4-1|85285_calculated	KRTAP4-1_ENSG00000198443	KRTAP4-1_ENSG00000198443
KRTAP4-11	653240	KRTAP4-11	KRTAP4-11	ENSG00000212721	18911	17	17q21.2	keratin associated protein 4-11	protein-coding	KRTAP4-11|653240_calculated	merged_KRTAP4-11|653240_calculated	KRTAP4-11_ENSG00000212721	KRTAP4-11_ENSG00000212721
KRTAP4-12	83755	KRTAP4-12	KRTAP4-12	ENSG00000213416	16776	17	17q21.2	keratin associated protein 4-12	protein-coding	KRTAP4-12|83755_calculated	merged_KRTAP4-12|83755_calculated	KRTAP4-12_ENSG00000213416	KRTAP4-12_ENSG00000213416
KRTAP4-2	85291	KRTAP4-2	KRTAP4-2	ENSG00000244537	18900	17	17q21.2	keratin associated protein 4-2	protein-coding	KRTAP4-2|85291_calculated	merged_KRTAP4-2|85291_calculated	KRTAP4-2_ENSG00000244537	KRTAP4-2_ENSG00000244537
KRTAP4-3	85290	KRTAP4-3	KRTAP4-3	ENSG00000196156	18908	17	17q21.2	keratin associated protein 4-3	protein-coding	KRTAP4-3|85290_calculated	merged_KRTAP4-3|85290_calculated	KRTAP4-3_ENSG00000196156	KRTAP4-3_ENSG00000196156
KRTAP4-4	84616	KRTAP4-4	KRTAP4-4	ENSG00000171396	16928	17	17q21.2	keratin associated protein 4-4	protein-coding	KRTAP4-4|84616_calculated	merged_KRTAP4-4|84616_calculated	KRTAP4-4_ENSG00000171396	KRTAP4-4_ENSG00000171396
KRTAP4-5	85289	KRTAP4-5	KRTAP4-5	ENSG00000198271	18899	17	17q21.2	keratin associated protein 4-5	protein-coding	KRTAP4-5|85289_calculated	merged_KRTAP4-5|85289_calculated	KRTAP4-5_ENSG00000198271	KRTAP4-5_ENSG00000198271
KRTAP4-7	100132476	KRTAP4-7	KRTAP4-7	ENSG00000240871	18898	17	17q21.2	keratin associated protein 4-7	protein-coding	KRTAP4-7|100132476_calculated	merged_KRTAP4-7|100132476_calculated	KRTAP4-7_ENSG00000240871	KRTAP4-7_ENSG00000240871
KRTAP4-8	728224	KRTAP4-8	KRTAP4-8	ENSG00000204880	17230	17	17q21.2	keratin associated protein 4-8	protein-coding	KRTAP4-8|728224_calculated	merged_KRTAP4-8|728224_calculated	KRTAP4-8_ENSG00000204880	KRTAP4-8_ENSG00000204880
KRTAP4-9	100132386	KRTAP4-9	KRTAP4-9	ENSG00000212722	18910	17	17q21.2	keratin associated protein 4-9	protein-coding	KRTAP4-9|100132386_calculated	merged_KRTAP4-9|100132386_calculated	KRTAP4-9_ENSG00000212722	KRTAP4-9_ENSG00000212722
KRTAP5-1	387264	KRTAP5-1	KRTAP5-1	ENSG00000205869	23596	11	11p15.5	keratin associated protein 5-1	protein-coding	KRTAP5-1|387264_calculated	merged_KRTAP5-1|387264_calculated	KRTAP5-1_ENSG00000205869	KRTAP5-1_ENSG00000205869
KRTAP5-10	387273	KRTAP5-10	KRTAP5-10	ENSG00000204572	23605	11	11q13.4	keratin associated protein 5-10	protein-coding	KRTAP5-10|387273_calculated	merged_KRTAP5-10|387273_calculated	KRTAP5-10_ENSG00000204572	KRTAP5-10_ENSG00000204572
KRTAP5-11	440051	KRTAP5-11	KRTAP5-11	ENSG00000204571	23606	11	11q13.4	keratin associated protein 5-11	protein-coding	KRTAP5-11|440051_calculated	merged_KRTAP5-11|440051_calculated	KRTAP5-11_ENSG00000204571	KRTAP5-11_ENSG00000204571
KRTAP5-2	440021	KRTAP5-2	KRTAP5-2	ENSG00000205867	23597	11	11p15.5	keratin associated protein 5-2	protein-coding	KRTAP5-2|440021_calculated	merged_KRTAP5-2|440021_calculated	KRTAP5-2_ENSG00000205867	KRTAP5-2_ENSG00000205867
KRTAP5-3	387266	KRTAP5-3	KRTAP5-3	ENSG00000196224	23598	11	11p15.5	keratin associated protein 5-3	protein-coding	KRTAP5-3|387266_calculated	merged_KRTAP5-3|387266_calculated	KRTAP5-3_ENSG00000196224	KRTAP5-3_ENSG00000196224
KRTAP5-4	387267	KRTAP5-4	KRTAP5-4	ENSG00000241598	23599	11	11p15.5	keratin associated protein 5-4	protein-coding	KRTAP5-4|387267_calculated	merged_KRTAP5-4|387267_calculated	KRTAP5-4_ENSG00000241598	KRTAP5-4_ENSG00000241598
KRTAP5-5	439915	KRTAP5-5	KRTAP5-5	ENSG00000185940	23601	11	11p15.5	keratin associated protein 5-5	protein-coding	KRTAP5-5|439915_calculated	merged_KRTAP5-5|439915_calculated	KRTAP5-5_ENSG00000185940	KRTAP5-5_ENSG00000185940
KRTAP5-6	440023	KRTAP5-6	KRTAP5-6	ENSG00000205864	23600	11	11p15.5	keratin associated protein 5-6	protein-coding	KRTAP5-6|440023_calculated	merged_KRTAP5-6|440023_calculated	KRTAP5-6_ENSG00000205864	KRTAP5-6_ENSG00000205864
KRTAP5-7	440050	KRTAP5-7	KRTAP5-7	ENSG00000244411	23602	11	11q13.4	keratin associated protein 5-7	protein-coding	KRTAP5-7|440050_calculated	merged_KRTAP5-7|440050_calculated	KRTAP5-7_ENSG00000244411	KRTAP5-7_ENSG00000244411
KRTAP5-8	57830	KRTAP5-8	KRTAP5-8	ENSG00000241233	23603	11	11q13.4	keratin associated protein 5-8	protein-coding	KRTAP5-8|57830_calculated	merged_KRTAP5-8|57830_calculated	KRTAP5-8_ENSG00000241233	KRTAP5-8_ENSG00000241233
KRTAP5-9	3846	KRTAP5-9	KRTAP5-9	ENSG00000254997	23604	11	11q13.4	keratin associated protein 5-9	protein-coding	KRTAP5-9|3846_calculated	merged_KRTAP5-9|3846_calculated	KRTAP5-9_ENSG00000254997	KRTAP5-9_ENSG00000254997
KRTAP6-1	337966	KRTAP6-1	KRTAP6-1	ENSG00000184724	18931	21	21q22.11	keratin associated protein 6-1	protein-coding	KRTAP6-1|337966_calculated	merged_KRTAP6-1|337966_calculated	KRTAP6-1_ENSG00000184724	KRTAP6-1_ENSG00000184724
KRTAP6-2	337967	KRTAP6-2	KRTAP6-2	ENSG00000186930	18932	21	21q22.11	keratin associated protein 6-2	protein-coding	KRTAP6-2|337967_calculated	merged_KRTAP6-2|337967_calculated	KRTAP6-2_ENSG00000186930	KRTAP6-2_ENSG00000186930
KRTAP6-3	337968	KRTAP6-3	KRTAP6-3	ENSG00000212938	18933	21	21q22.11	keratin associated protein 6-3	protein-coding	KRTAP6-3|337968_calculated	merged_KRTAP6-3|337968_calculated	KRTAP6-3_ENSG00000212938	KRTAP6-3_ENSG00000212938
KRTAP8-1	337879	KRTAP8-1	KRTAP8-1	ENSG00000183640	18935	21	21q22.11	keratin associated protein 8-1	protein-coding	KRTAP8-1|337879_calculated	merged_KRTAP8-1|337879_calculated	KRTAP8-1_ENSG00000183640	KRTAP8-1_ENSG00000183640
KRTAP9-2	83899	KRTAP9-2	KRTAP9-2	ENSG00000239886	16926	17	17q21.2	keratin associated protein 9-2	protein-coding	KRTAP9-2|83899_calculated	merged_KRTAP9-2|83899_calculated	KRTAP9-2_ENSG00000239886	KRTAP9-2_ENSG00000239886
KRTAP9-4	85280	KRTAP9-4	KRTAP9-4	ENSG00000241595	18902	17	17q21.2	keratin associated protein 9-4	protein-coding	KRTAP9-4|85280_calculated	merged_KRTAP9-4|85280_calculated	KRTAP9-4_ENSG00000241595	KRTAP9-4_ENSG00000241595
KRTAP9-8	83901	KRTAP9-8	KRTAP9-8	ENSG00000187272	17231	17	17q21.2	keratin associated protein 9-8	protein-coding	KRTAP9-8|83901_calculated	merged_KRTAP9-8|83901_calculated	KRTAP9-8_ENSG00000187272	KRTAP9-8_ENSG00000187272
KRTAP9-9	81870	KRTAP9-9	KRTAP9-9	ENSG00000198083	16773	17	17q21.2	keratin associated protein 9-9	protein-coding	KRTAP9-9|81870_calculated	merged_KRTAP9-9|81870_calculated	KRTAP9-9_ENSG00000198083	KRTAP9-9_ENSG00000198083
KRTCAP2	200185	KRTCAP2	KRTCAP2	ENSG00000163463	28942	1	1q22	keratinocyte associated protein 2	protein-coding	KRTCAP2|200185_calculated	merged_KRTCAP2|200185_calculated	KRTCAP2_ENSG00000163463	KRTCAP2_ENSG00000163463
KRTCAP3	200634	KRTCAP3	KRTCAP3	ENSG00000157992	28943	2	2p23.3	keratinocyte associated protein 3	protein-coding	KRTCAP3|200634_calculated	merged_KRTCAP3|200634_calculated	KRTCAP3_ENSG00000157992	KRTCAP3_ENSG00000157992
KRTDAP	388533	KRTDAP	KRTDAP	ENSG00000188508	16313	19	19q13.12	keratinocyte differentiation associated protein	protein-coding	KRTDAP|388533_calculated	merged_KRTDAP|388533_calculated	KRTDAP_ENSG00000188508	KRTDAP_ENSG00000188508
KSR1	8844	KSR1	KSR1	ENSG00000141068	6465	17	17q11.2	kinase suppressor of ras 1	protein-coding	KSR1|8844_calculated	merged_KSR1|8844_calculated	KSR1_ENSG00000141068	KSR1_ENSG00000141068
KSR2	283455	KSR2	KSR2	ENSG00000171435	18610	12	12q24.22-q24.23	kinase suppressor of ras 2	protein-coding	KSR2|283455_calculated	merged_KSR2|283455_calculated	KSR2_ENSG00000171435	KSR2_ENSG00000171435
